File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\profile\InputProfileValue.java,57,21,15,2,8,0,28,88,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\profile\InputProfileVariable.java,60,23,17,2,9,0,28,89,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\profile\ProfileExecutor.java,107,52,45,0,26,0,29,80,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\profile\Requirement.java,46,33,24,3,13,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\adaptation\effectors\AbstractEffector.java,33,11,8,1,7,0,15,40,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\adaptation\effectors\CacheEffector.java,102,41,29,4,14,0,47,189,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\adaptation\effectors\ConfigurationEffector.java,38,13,9,0,6,0,19,56,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\adaptation\effectors\WorkflowEffector.java,92,34,24,0,14,0,44,189,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\adaptation\probes\AbstractProbe.java,33,12,9,0,5,0,16,42,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\adaptation\probes\CostProbe.java,27,11,8,1,5,0,11,38,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\adaptation\probes\WorkflowProbe.java,84,35,22,6,9,0,40,83,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\adaptation\probes\interfaces\CostProbeInterface.java,20,5,4,0,5,0,10,44,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\adaptation\probes\interfaces\WorkflowProbeInterface.java,61,10,9,0,11,0,40,272,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\atomic\AtomicService.java,146,90,64,15,17,0,39,164,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\atomic\ServiceProfile.java,38,9,6,2,6,0,23,168,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\atomic\ServiceProfileAttribute.java,17,9,6,0,3,0,5,17,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\auxiliary\AbstractMessage.java,72,29,21,3,9,0,34,119,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\auxiliary\AbstractService.java,323,182,136,26,41,0,100,360,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\auxiliary\AtomicServiceConfiguration.java,12,6,5,0,2,0,4,11,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\auxiliary\CompositeServiceConfiguration.java,30,19,16,0,7,1,4,19,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\auxiliary\Configuration.java,65,32,27,1,6,0,27,154,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\auxiliary\ExecutionThread.java,53,38,29,4,15,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\auxiliary\LocalOperation.java,17,9,6,0,3,0,5,14,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\auxiliary\MessageFailed.java,6,3,2,0,3,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\auxiliary\Operation.java,108,55,38,16,17,0,36,117,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\auxiliary\OperationAborted.java,23,8,6,0,4,0,11,31,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\auxiliary\Param.java,65,30,20,4,8,0,27,85,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\auxiliary\Request.java,91,38,28,4,10,0,43,149,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\auxiliary\Response.java,82,36,26,4,11,0,35,113,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\auxiliary\ServiceDescription.java,269,143,97,36,30,0,96,331,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\auxiliary\ServiceFailed.java,6,3,2,0,3,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\auxiliary\ServiceOperation.java,18,10,7,0,4,0,4,9,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\auxiliary\ServiceRegistryInterface.java,43,9,8,0,9,0,25,93,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\auxiliary\TimeOutError.java,9,3,2,0,2,0,4,12,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\auxiliary\XMLBuilder.java,44,19,15,2,8,0,17,55,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\client\AbstractServiceClient.java,105,65,51,4,13,0,27,89,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\composite\CompositeService.java,355,204,143,33,43,0,108,534,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\composite\CompositeServiceClient.java,53,19,13,2,9,0,25,103,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\composite\SDCache.java,331,199,139,56,35,0,97,427,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\messagingservice\MessagingService.java,158,69,50,11,27,0,62,210,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\build\src\service\messagingservice\MessagingServiceProvider.java,43,24,16,0,9,0,10,27,0,0
